Model,GoalX,GoalY,Theta_center,SuccessRate,Count
DNN_LNA_closs1,0.5,-0.5,-2.748893571891069,,0
DNN_LNA_closs1,0.5,-0.5,-1.9634954084936207,,0
DNN_LNA_closs1,0.5,-0.5,-1.1780972450961724,,0
DNN_LNA_closs1,0.5,-0.5,-0.39269908169872414,,0
DNN_LNA_closs1,0.5,-0.5,0.39269908169872414,,0
DNN_LNA_closs1,0.5,-0.5,1.1780972450961724,,0
DNN_LNA_closs1,0.5,-0.5,1.9634954084936207,,0
DNN_LNA_closs1,0.5,-0.5,2.748893571891069,,0
DNN_LNA_closs1,0.5,0.0,-2.748893571891069,,0
DNN_LNA_closs1,0.5,0.0,-1.9634954084936207,,0
DNN_LNA_closs1,0.5,0.0,-1.1780972450961724,,0
DNN_LNA_closs1,0.5,0.0,-0.39269908169872414,,0
DNN_LNA_closs1,0.5,0.0,0.39269908169872414,,0
DNN_LNA_closs1,0.5,0.0,1.1780972450961724,,0
DNN_LNA_closs1,0.5,0.0,1.9634954084936207,,0
DNN_LNA_closs1,0.5,0.0,2.748893571891069,,0
DNN_LNA_closs1,0.5,0.5,-2.748893571891069,6.9,29
DNN_LNA_closs1,0.5,0.5,-1.9634954084936207,37.0,27
DNN_LNA_closs1,0.5,0.5,-1.1780972450961724,78.1,32
DNN_LNA_closs1,0.5,0.5,-0.39269908169872414,92.9,14
DNN_LNA_closs1,0.5,0.5,0.39269908169872414,80.0,25
DNN_LNA_closs1,0.5,0.5,1.1780972450961724,72.7,22
DNN_LNA_closs1,0.5,0.5,1.9634954084936207,45.8,24
DNN_LNA_closs1,0.5,0.5,2.748893571891069,14.8,27
DNN_LNA_closs1,1.0,-0.5,-2.748893571891069,,0
DNN_LNA_closs1,1.0,-0.5,-1.9634954084936207,,0
DNN_LNA_closs1,1.0,-0.5,-1.1780972450961724,,0
DNN_LNA_closs1,1.0,-0.5,-0.39269908169872414,,0
DNN_LNA_closs1,1.0,-0.5,0.39269908169872414,,0
DNN_LNA_closs1,1.0,-0.5,1.1780972450961724,,0
DNN_LNA_closs1,1.0,-0.5,1.9634954084936207,,0
DNN_LNA_closs1,1.0,-0.5,2.748893571891069,,0
DNN_LNA_closs1,1.0,0.0,-2.748893571891069,0.0,29
DNN_LNA_closs1,1.0,0.0,-1.9634954084936207,0.0,27
DNN_LNA_closs1,1.0,0.0,-1.1780972450961724,0.0,32
DNN_LNA_closs1,1.0,0.0,-0.39269908169872414,14.3,14
DNN_LNA_closs1,1.0,0.0,0.39269908169872414,32.0,25
DNN_LNA_closs1,1.0,0.0,1.1780972450961724,31.8,22
DNN_LNA_closs1,1.0,0.0,1.9634954084936207,16.7,24
DNN_LNA_closs1,1.0,0.0,2.748893571891069,0.0,27
DNN_LNA_closs1,1.0,0.5,-2.748893571891069,,0
DNN_LNA_closs1,1.0,0.5,-1.9634954084936207,,0
DNN_LNA_closs1,1.0,0.5,-1.1780972450961724,,0
DNN_LNA_closs1,1.0,0.5,-0.39269908169872414,,0
DNN_LNA_closs1,1.0,0.5,0.39269908169872414,,0
DNN_LNA_closs1,1.0,0.5,1.1780972450961724,,0
DNN_LNA_closs1,1.0,0.5,1.9634954084936207,,0
DNN_LNA_closs1,1.0,0.5,2.748893571891069,,0
DNN_LNA_closs1,1.5,-0.5,-2.748893571891069,0.0,29
DNN_LNA_closs1,1.5,-0.5,-1.9634954084936207,0.0,27
DNN_LNA_closs1,1.5,-0.5,-1.1780972450961724,12.5,32
DNN_LNA_closs1,1.5,-0.5,-0.39269908169872414,21.4,14
DNN_LNA_closs1,1.5,-0.5,0.39269908169872414,36.0,25
DNN_LNA_closs1,1.5,-0.5,1.1780972450961724,31.8,22
DNN_LNA_closs1,1.5,-0.5,1.9634954084936207,29.2,24
DNN_LNA_closs1,1.5,-0.5,2.748893571891069,0.0,27
DNN_LNA_closs1,1.5,0.0,-2.748893571891069,,0
