GoalX,GoalY,Model,SuccessRate,AvgDist
0.5,0.5,DNN_LNA_closs1,100.0,0.134176587359447
0.5,0.5,DNN_LNA_closs2,100.0,0.0912348248945612
0.5,0.5,DNN_LNA_mse,100.0,0.067741106844446
0.5,0.5,DNN_LNA_on_wheel1,100.0,0.0579788985588174
0.5,0.5,DNN_LNA_sinu,100.0,0.1767073235884057
1.0,0.0,DNN_LNA_closs2,100.0,0.0571654937996281
1.0,0.0,DNN_LNA_mse,100.0,0.0551193933027492
1.0,0.0,DNN_LNA_on_wheel1,100.0,0.1368478284770198
1.0,0.0,DNN_LNA_sinu,100.0,0.0916768837915366
1.0,0.0,DNN_LNA_closs1,0.0,0.3600858339032753
1.5,-0.5,DNN_LNA_closs1,100.0,0.286733545634058
1.5,-0.5,DNN_LNA_closs2,100.0,0.0660292870290129
1.5,-0.5,DNN_LNA_mse,100.0,0.0793057040537908
1.5,-0.5,DNN_LNA_on_wheel1,100.0,0.0631607494520856
1.5,-0.5,DNN_LNA_sinu,100.0,0.0767634197822702
