Exp,Model,SuccessRate,AvgDist
Exp1,DNN_LNA_closs2,84.13333333333334,0.12951416357997345
Exp1,DNN_LNA_on_wheel1,74.73333333333333,0.17604714337100077
Exp1,DNN_LNA_mse,65.53333333333333,0.23695539087809164
Exp1,DNN_LNA_sinu,63.733333333333334,0.24382631967204668
Exp1,DNN_LNA_closs1,38.833333333333336,0.4819352548929113
Exp2,DNN_LNA_closs2,100.0,0.0714765352410674
Exp2,DNN_LNA_mse,100.0,0.067388734733662
Exp2,DNN_LNA_on_wheel1,93.33333333333333,0.08599582549597426
Exp2,DNN_LNA_sinu,93.33333333333333,0.11504920905407084
Exp2,DNN_LNA_closs1,60.0,0.26033198896559345
